Sample	Site	Rep
S001	NV001	R1
S002	NV002	R1
S003	NV003	R1
S004	NV004	R1
S005	NV005	R1
S006	NV006	R1
S007	NV007	R1
S008	NV008	R1
S009	NV009	R1
S010	NT010	R1
S011	NT011	R1
S012	NT012	R1
S013	NT013	R1
S014	NT014	R1
S015	NT015	R1
S016	NT016	R1
S017	NT017	R1
S018	NT018	R1
S019	NH019	R1
S020	NH020	R1
S021	NH021	R1
S022	NH022	R1
S023	NH023	R1
S024	NH024	R1
S025	NH025	R1
S026	NH026	R1
S027	NH027	R1
S028	NH028	R1
S029	VU029	R1
S030	VU030	R1
S031	VU031	R1
S032	VU032	R1
S033	VU033	R1
S034	VU034	R1
S035	VU035	R1
S036	VO036	R1
S037	VO037	R1
S038	VO038	R1
S039	VO039	R1
S040	VO040	R1
S041	VO041	R1
S042	VO042	R1
S043	VO043	R1
S044	VD044	R1
S045	VD045	R1
S046	VD046	R1
S047	VD047	R1
S048	VD048	R1
S049	VD049	R1
S050	VD050	R1
S051	VD051	R1
S052	VD052	R1
S053	EM053	R1
S054	EM054	R1
S055	EM055	R1
S056	EM056	R1
S057	EM057	R1
S058	EM058	R1
S059	EM059	R1
S060	EM060	R1
S061	EM061	R1
S062	ES062	R1
S063	ES063	R1
S064	ES064	R1
S065	Neg1	R1
S066	Blank1	R1
S067	NV001	R2
S068	NV002	R2
S069	NV003	R2
S070	NV004	R2
S071	NV005	R2
S072	NV006	R2
S073	NV007	R2
S074	NV008	R2
S075	NV009	R2
S076	NT010	R2
S077	NT011	R2
S078	NT012	R2
S079	NT013	R2
S080	NT014	R2
S081	NT015	R2
S082	NT016	R2
S083	NT017	R2
S084	NT018	R2
S085	NH019	R2
S086	NH020	R2
S087	NH021	R2
S088	NH022	R2
S089	NH023	R2
S090	NH024	R2
S091	NH025	R2
S092	NH026	R2
S093	NH027	R2
S094	NH028	R2
S095	VU029	R2
S096	VU030	R2
S097	VU031	R2
S098	VU032	R2
S099	VU033	R2
S100	VU034	R2
S101	VU035	R2
S102	VO036	R2
S103	VO037	R2
S104	VO038	R2
S105	VO039	R2
S106	VO040	R2
S107	VO041	R2
S108	VO042	R2
S109	VO043	R2
S110	VD044	R2
S111	VD045	R2
S112	VD046	R2
S113	VD047	R2
S114	VD048	R2
S115	VD049	R2
S116	VD050	R2
S117	VD051	R2
S118	VD052	R2
S119	EM053	R2
S120	EM054	R2
S121	EM055	R2
S122	EM056	R2
S123	EM057	R2
S124	EM058	R2
S125	EM059	R2
S126	EM060	R2
S127	EM061	R2
S128	ES062	R2
S129	ES063	R2
S130	ES064	R2
S131	Neg2	R2
S132	Blank2	R2
S133	NV001	R3
S134	NV002	R3
S135	NV003	R3
S136	NV004	R3
S137	NV005	R3
S138	NV006	R3
S139	NV007	R3
S140	NV008	R3
S141	NV009	R3
S142	NT010	R3
S143	NT011	R3
S144	NT012	R3
S145	NT013	R3
S146	NT014	R3
S147	NT015	R3
S148	NT016	R3
S149	NT017	R3
S150	NT018	R3
S151	NH019	R3
S152	NH020	R3
S153	NH021	R3
