Sample	Site	Replicate
S001	NV001	1
S002	NV002	1
S003	NV003	1
S004	NV004	1
S005	NV005	1
S006	NV006	1
S007	NV007	1
S008	NV008	1
S009	NT010	1
S010	NT011	1
S011	NH024	1
S012	NH026	1
S013	VU027	1
S014	neg_2	1
S015	VU029	1
S016	VU031	1
S017	VU033	1
S018	VU034	1
S019	Blank1	1
S020	VO037	1
S021	VO038	1
S022	VO039	1
S023	VO041	1
S024	VO042	1
S025	VO043	1
S026	VD044	1
S027	NT016	1
S028	VU032	1
S029	VO040	1
S030	Blank2	1
S031	VD049	1
S032	VD050	1
S033	VD051	1
S034	VD052	1
S035	EM053	1
S036	EM054	1
S037	EM055	1
S038	EM056	1
S039	EM057	1
S040	EM058	1
S041	EM059	1
S042	neg_7	1
S043	EM061	1
S044	ES062	1
S045	ES063	1
S046	ES065	1
S047	ES066	1
S048	ES067	1
S049	ES068	1
S050	ES069	1
S051	ES070	1
S052	EV071	1
S053	NV009	1
S054	NT017	1
S055	NT018	1
S056	NH019	1
S057	NH020	1
S058	NH021	1
S059	NH022	1
S060	NH023	1
S061	NT012	1
S062	NT013	1
S063	NT014	1
S064	NT015	1
S065	NH025	1
S066	VU028	1
S067	VU030	1
S068	VU035	1
S069	VO036	1
S070	EM060	1
S071	EV072	1
S072	EV078	1
S073	SN079	1
S074	SN081	1
S075	SN082	1
S076	SN083	1
S077	SN084	1
S078	SN085	1
S079	SN086	1
S080	SN087	1
S081	VD045	1
S082	VD046	1
S083	VD047	1
S084	VD048	1
S085	ES064	1
S086	SN080	1
S087	SV088	1
S088	Blank4__3_	1
S089	SV090	1
S090	SV091	1
S091	SV092	1
S092	SV093	1
S093	SV094	1
S094	SV095	1
S095	SM096	1
S096	SM099	1
S097	neg_9	1
S098	SM102	1
S099	SM103	1
S100	FF105	1
S101	FF106	1
S102	FF107	1
S103	FF108	1
S104	FF109	1
S105	FF110	1
S106	FF111	1
S107	FF112	1
S108	FL113	1
S109	FL114	1
S110	FL115	1
S111	FL116	1
S112	FL117	1
S113	FL118	1
S114	FL119	1
S115	FM121	1
S116	FM122	1
S117	FM123	1
S118	Blank3_2_	1
S119	FM124	1
S120	FM125	1
S121	FM126	1
S122	FM127	1
S123	SM104	1
S124	FL120	1
S125	FM128	1
S126	FM129	1
S127	FM130	1
S128	EV073	1
S129	EV074	1
S130	EV075	1
S131	EV076	1
S132	EV077	1
S133	SV089	1
S134	SM097	1
S135	SM098	1
S136	SM100	1
S137	SM101	1
S138	NV001	2
S139	NV002	2
S140	NV003	2
S141	NV004	2
S142	NV005	2
S143	NV006	2
S144	NV007	2
S145	NV008	2
S146	NV009	2
S147	NT010	2
S148	NT011	2
S149	NT012	2
S150	NT013	2
S151	NT014	2
S152	NT015	2
S153	NH025	2
S154	NH026	2
S155	VU027	2
S156	neg_2	2
S157	VU028	2
S158	VU029	2
S159	VU030	2
S160	VU031	2
S161	VU033	2
S162	VU034	2
S163	VU035	2
S164	Blank1	2
S165	VO036	2
S166	VO037	2
S167	VO038	2
S168	VO039	2
S169	VO041	2
S170	VO042	2
S171	VO043	2
S172	VD044	2
S173	NT016	2
S174	VU032	2
S175	VO040	2
S176	Blank2	2
S177	VD051	2
S178	VD052	2
S179	EM053	2
S180	EM054	2
S181	EM055	2
S182	EM056	2
S183	EM058	2
S184	EM059	2
S185	neg_7	2
S186	EM061	2
S187	ES062	2
S188	ES063	2
S189	ES065	2
S190	ES067	2
S191	ES068	2
S192	ES070	2
S193	EV071	2
S194	EV072	2
S195	NH020	2
S196	NH021	2
S197	NH022	2
S198	NH023	2
S199	NH024	2
S200	VD049	2
S201	VD050	2
S202	EM057	2
S203	EM060	2
S204	ES066	2
S205	ES069	2
S206	NT017	2
S207	NT018	2
S208	NH019	2
S209	EV073	2
S210	EV074	2
S211	EV075	2
S212	EV076	2
S213	EV077	2
S214	EV078	2
S215	SN079	2
S216	SN081	2
S217	SN082	2
S218	SN083	2
S219	SN084	2
S220	SN085	2
S221	SN086	2
S222	SN087	2
S223	VD046	2
S224	VD047	2
S225	VD048	2
S226	ES064	2
S227	SN080	2
S228	SV088	2
S229	Blank4_3_	2
S230	SV090	2
S231	SV091	2
S232	SV092	2
S233	SV093	2
S234	SV094	2
S235	SV095	2
S236	SM096	2
S237	SM097	2
S238	SM098	2
S239	SM099	2
S240	neg_9	2
S241	SM100	2
S242	SM101	2
S243	SM102	2
S244	SM103	2
S245	FF105	2
S246	FF106	2
S247	FF107	2
S248	FF108	2
S249	FF109	2
S250	FF110	2
S251	FF111	2
S252	FF112	2
S253	FL113	2
S254	FL114	2
S255	FL115	2
S256	FL116	2
S257	FL117	2
S258	FL118	2
S259	FL119	2
S260	FL120	2
S261	FM121	2
S262	FM122	2
S263	FM123	2
S264	Blank3_2_	2
S265	FM124	2
S266	FM125	2
S267	FM126	2
S268	SM104	2
S269	FM129	2
S270	FM130	2
S271	SV089	2
S272	FM127	2
S273	FM128	2
S274	VD045	2
S275	NV002	3
S276	NV003	3
S277	NV004	3
S278	NV005	3
S279	NV006	3
S280	NV007	3
S281	NV008	3
S282	NV009	3
S283	NT012	3
S284	NT013	3
S285	NT014	3
S286	NT015	3
S287	NT017	3
S288	NT018	3
S289	NH019	3
S290	NH020	3
S291	NH021	3
S292	NH022	3
S293	NH023	3
S294	NH024	3
S295	NH025	3
S296	NH026	3
S297	VU027	3
S298	neg_6	3
S299	VU028	3
S300	VU029	3
S301	VU030	3
S302	VU031	3
S303	VU033	3
S304	VU034	3
S305	Blank1_3_	3
S306	VO036	3
S307	VO037	3
S308	VO038	3
S309	VO039	3
S310	VO041	3
S311	VO042	3
S312	VO043	3
S313	VD044	3
S314	NT016	3
S315	VU032	3
S316	VO040	3
S317	Blank2_3_	3
S318	VD049	3
S319	VD050	3
S320	VD051	3
S321	VD052	3
S322	EM053	3
S323	EM054	3
S324	EM055	3
S325	EM056	3
S326	EM057	3
S327	EM058	3
S328	EM059	3
S329	neg_15	3
S330	EM061	3
S331	ES062	3
S332	ES063	3
S333	ES065	3
S334	ES066	3
S335	ES067	3
S336	ES068	3
