NewSiteID	newstratum	namestratum
NV001	EarlyDryPoor	HeathLand
NV002	EarlyWetRich	AlkalineWetland
NV003	EarlyWetPoor	AcidicWetland
NV004	Agricultural	Agricultural
NV005	EarlyWetRich	AlkalineWetland
NV006	Agricultural	Agricultural
NV007	EarlyWetRich	AlkalineWetland
NV008	EarlyWetPoor	AcidicWetland
NV009	LateDryPoor	MorForest
NT010	EarlyDryRich	Grassland
NT011	EarlyWetPoor	AcidicWetland
NT012	EarlyWetPoor	AcidicWetland
NT013	LateWetPoor	BogForest
NT014	EarlyDryPoor	HeathLand
NT015	EarlyDryPoor	HeathLand
NT016	Agricultural	Agricultural
NT017	LateDryPoor	MorForest
NT018	EarlyWetPoor	AcidicWetland
NH019	LateDryRich	MullForest
NH020	LateDryPoor	MorForest
NH021	LateDryPoor	MorForest
NH022	LateWetPoor	BogForest
NH023	LateWetRich	SwampForest
NH024	LateDryRich	MullForest
NH025	EarlyWetRich	AlkalineWetland
NH026	LateDryPoor	MorForest
VU027	EarlyDryPoor	HeathLand
VU028	EarlyWetPoor	AcidicWetland
VU029	Agricultural	Agricultural
VU030	EarlyDryPoor	HeathLand
VU031	EarlyWetRich	AlkalineWetland
VU032	LateWetPoor	BogForest
VU033	LateWetRich	SwampForest
VU034	Agricultural	Agricultural
VU035	LateDryPoor	MorForest
VO036	EarlyWetRich	AlkalineWetland
VO037	EarlyWetRich	AlkalineWetland
VO038	EarlyWetRich	AlkalineWetland
VO039	LateDryPoor	MorForest
VO040	Agricultural	Agricultural
VO041	EarlyDryRich	Grassland
VO042	EarlyWetPoor	AcidicWetland
VO043	LateWetPoor	BogForest
VD044	EarlyDryRich	Grassland
VD045	EarlyWetPoor	AcidicWetland
VD046	LateWetRich	SwampForest
VD047	LateDryPoor	MorForest
VD048	LateDryPoor	MorForest
VD049	LateWetRich	SwampForest
VD050	LateWetPoor	BogForest
VD051	LateWetRich	SwampForest
VD052	LateDryPoor	MorForest
EM053	EarlyDryRich	Grassland
EM054	Agricultural	Agricultural
EM055	LateDryRich	MullForest
EM056	LateDryRich	MullForest
EM057	EarlyDryPoor	HeathLand
EM058	EarlyDryRich	Grassland
EM059	LateDryPoor	MorForest
EM060	EarlyWetRich	AlkalineWetland
EM061	EarlyWetPoor	AcidicWetland
ES062	EarlyDryPoor	HeathLand
ES063	EarlyWetPoor	AcidicWetland
ES064	EarlyWetRich	AlkalineWetland
ES065	EarlyWetPoor	AcidicWetland
ES066	EarlyWetRich	AlkalineWetland
ES067	LateDryPoor	MorForest
ES068	LateDryPoor	MorForest
ES069	LateDryPoor	MorForest
ES070	LateWetPoor	BogForest
EV071	LateDryRich	MullForest
EV072	LateWetRich	SwampForest
EV073	Agricultural	Agricultural
EV074	EarlyWetRich	AlkalineWetland
EV075	Agricultural	Agricultural
EV076	LateDryRich	MullForest
EV077	LateDryPoor	MorForest
EV078	LateDryPoor	MorForest
SN079	EarlyDryPoor	HeathLand
SN080	EarlyDryPoor	HeathLand
SN081	LateDryRich	MullForest
SN082	LateWetRich	SwampForest
SN083	LateWetPoor	BogForest
SN084	EarlyWetPoor	AcidicWetland
SN085	LateWetRich	SwampForest
SN086	LateDryPoor	MorForest
SN087	LateDryPoor	MorForest
SV088	EarlyDryRich	Grassland
SV089	EarlyWetPoor	AcidicWetland
SV090	EarlyWetPoor	AcidicWetland
SV091	EarlyWetRich	AlkalineWetland
SV092	EarlyWetRich	AlkalineWetland
SV093	EarlyDryPoor	HeathLand
SV094	EarlyDryRich	Grassland
SV095	Agricultural	Agricultural
SM096	LateDryRich	MullForest
SM097	LateDryRich	MullForest
SM098	LateDryRich	MullForest
SM099	LateWetPoor	BogForest
SM100	LateWetPoor	BogForest
SM101	LateWetRich	SwampForest
SM102	Agricultural	Agricultural
SM103	Agricultural	Agricultural
SM104	EarlyWetRich	AlkalineWetland
FF105	LateDryRich	MullForest
FF106	EarlyDryRich	Grassland
FF107	LateDryRich	MullForest
FF108	EarlyWetPoor	AcidicWetland
FF109	EarlyDryRich	Grassland
FF110	LateWetPoor	BogForest
FF111	EarlyWetPoor	AcidicWetland
FF112	EarlyWetPoor	AcidicWetland
FL113	LateDryPoor	MorForest
FL114	LateDryPoor	MorForest
FL115	Agricultural	Agricultural
FL116	LateWetRich	SwampForest
FL117	LateWetRich	SwampForest
FL118	LateWetRich	SwampForest
FL119	EarlyWetRich	AlkalineWetland
FL120	Agricultural	Agricultural
FM121	LateDryRich	MullForest
FM122	EarlyDryPoor	HeathLand
FM123	EarlyWetPoor	AcidicWetland
FM124	EarlyWetRich	AlkalineWetland
FM125	EarlyWetRich	AlkalineWetland
FM126	EarlyDryRich	Grassland
FM127	LateDryRich	MullForest
FM128	EarlyDryRich	Grassland
FM129	Agricultural	Agricultural
FM130	LateDryRich	MullForest
