temperature	harvest	exposure	Qubit	sem.x	ppm4	sem.y
0	0	closed	29.5	3.2	129.2	5.2
0	1	closed	27.6	1	53.6	0.6
0	7	closed	32.7	2.8	19	0.5
0	28	closed	23	3.2	7.5	3
5	0	closed	40.2	6.5	154.1	5.2
5	1	closed	34.6	1.1	74.3	2.3
5	7	closed	31.6	1.4	27.5	3.9
5	28	closed	20.4	2.3	17.9	1
5	0	open	26.7	1.9	NA	NA
5	1	open	28.1	3.1	NA	NA
5	7	open	29.5	0.6	NA	NA
5	28	open	27.8	3	NA	NA
10	0	closed	40.6	2.8	172	12.5
10	1	closed	37.8	4.3	100.3	6.7
10	7	closed	30.7	0.4	49.3	0.9
10	28	closed	25.3	0.5	34.1	7.2
20	0	closed	28.1	1	584.4	39.7
20	1	closed	32.2	2.3	182.1	11.1
20	7	closed	35.9	1.8	102	1.1
20	28	closed	18.6	1.8	76.4	3.3
20	60	closed	28.4	2.3	NA	NA
20	120	closed	15.6	2.6	NA	NA
20	240	closed	10.5	1.1	NA	NA
20	480	closed	8.8	1.6	NA	NA
20	0	open	33.8	1.6	NA	NA
20	1	open	26.7	2.6	NA	NA
20	7	open	39.4	4.9	NA	NA
20	28	open	17.5	2.1	NA	NA
20	60	open	26.2	0.9	NA	NA
20	120	open	20.1	2.3	NA	NA
20	240	open	10.3	0.9	NA	NA
20	480	open	6.6	0	NA	NA
40	0	closed	23.7	1.9	1054.9	23
40	1	closed	16.2	1.2	639.8	9.2
40	7	closed	8.5	0.7	353.9	9.4
40	28	closed	0.9	0.1	194.7	17.4
