sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	forward_file_accession	reverse_file_accession
SE001	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE001_R1.fastq.gz	8b7e788e52c591dd40fda99035b16c33	bac1_reverse_SE001_R2.fastq.gz	e73e1246d50e84bd3aee1644c5ed1430	ERR10222671	ERR10222671
SE002	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE002_R1.fastq.gz	0da2d0ec11b6aa208198d83ee92f9d26	bac1_reverse_SE002_R2.fastq.gz	556b74cbd6eb740385820a937c2ee18f	ERR10222672	ERR10222672
SE003	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time0	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE003_R1.fastq.gz	b1b0e2a688ed851eb2b1aaaf9ed15da0	bac1_reverse_SE003_R2.fastq.gz	7694561036fd4ac1f578ca097e49c5ee	ERR10222673	ERR10222673
SE004	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE004_R1.fastq.gz	10f391848e9b508d2971e39a906e3a72	bac1_reverse_SE004_R2.fastq.gz	8814a8e39970ee4428172af452c30aa9	ERR10222674	ERR10222674
SE005	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE005_R1.fastq.gz	3a201158b0df76c4cbbb3730bd40a060	bac1_reverse_SE005_R2.fastq.gz	f39b75db783423a36ebab23ec15ca17d	ERR10222675	ERR10222675
SE006	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time1	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE006_R1.fastq.gz	a53d8380dc4d978b034a7a295951d2bb	bac1_reverse_SE006_R2.fastq.gz	1a8748df3f2474ad178dbecd2df7ad38	ERR10222676	ERR10222676
SE007	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE007_R1.fastq.gz	bedac88657061e2d32803545f9a91403	bac1_reverse_SE007_R2.fastq.gz	edfc5fa6649970052ed4527e7f036ea2	ERR10222677	ERR10222677
SE008	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE008_R1.fastq.gz	749220288556c33f9e5b36a4dba2eff7	bac1_reverse_SE008_R2.fastq.gz	aa9ecf623eaef4e735fa764a9e633070	ERR10222678	ERR10222678
SE009	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time7	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE009_R1.fastq.gz	4c9594ea69c136ba56f2f8c4d81262d9	bac1_reverse_SE009_R2.fastq.gz	5f7368d9882b14cbb46ace34848dd09f	ERR10222679	ERR10222679
SE010	PRJEB56039	Illumina MiSeq	bac1_reverse_closed_temp0_time28	METAGENOMIC	PCR	AMPLICON	PAIRED	bac1_reverse_SE010_R1.fastq.gz	054237cd7807eb6e8cb9155a4061215e	bac1_reverse_SE010_R2.fastq.gz	e31994983a8debf0b59ecfdd4a56bcff	ERR10222680	ERR10222680
